시도,군구,주소,충전소명,시설구분(대),시설구분(소),기종(대),기종(소),운영기관(대),운영기관(소),급속충전량,충전기타입,이용자제한,위도경도
전라남도,나주시,전라남도 나주시 왕곡면 덕산리 594-2,나주시농업기술센터,공공시설,지자체시설,급속,급속(200kW동시),환경부,환경부(협회),급속(200kW동시),DC콤보,이용가능,"34.965881,126.672053"
인천광역시,연수구,인천광역시 연수구 랜드마크로 113,이편한세상송도,공동주택시설,아파트,완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"37.4134476,126.6177017"
경기도,용인시,경기도 용인시 수지구 푸른솔로 56,경기용인 꽃메마을현대홈타운,공동주택시설,아파트,완속,AC완속,타기관(보조금),에버온,,AC완속,이용가능,"37.324765801902,127.116012686"
경기도,화성시,경기도 화성시 봉담읍 와우로 51,휴먼빌아파트(화성시),공동주택시설,아파트,완속,AC완속,타기관(보조금),휴맥스이브이,,AC완속,이용가능,"37.214045291,126.97144682"
경상남도,창원시,경상남도 창원시 성산구 두대로 165,경일고등학교,교육문화시설,학교,완속,AC완속,타기관,이지차저,,AC완속,이용가능,"35.226209394,128.66028639"
부산광역시,북구,부산광역시 북구 함박봉로140번길 20,만덕상록한신휴플러스,공동주택시설,아파트,완속,AC완속,타기관(보조금),LG유플러스,,AC완속,이용가능,"35.204079,129.032994"
경기도,파주시,경기도 파주시 문발로 430,경기파주 파주출판LH1단지,공동주택시설,아파트,완속,AC완속,타기관,에버온,,AC완속,이용가능,"37.730092453,126.69244932"
대전광역시,동구,대전광역시 동구 동부로 138,대전용운국제수영장,교육문화시설,경기장,급속,DC콤보,타기관,채비,,DC콤보,이용가능,"36.325191,127.466562"
경상남도,창원시,경상남도 창원시 의창구 북면 천주로1150번길 15-2,더엘홀딩스주식회사,기타시설,기타,완속,AC완속,타기관(보조금),파워큐브,,AC완속,이용가능,"35.352118705445,128.610732260"
경상북도,경산시,경상북도 경산시 하양읍 지식산업4로 162,거성인더스,기타시설,기타,완속,AC완속,타기관,SK일렉링크,,AC완속,이용가능,"35.93702981,128.8204919"
서울특별시,은평구,서울특별시 은평구 백련산로2길 19,백련산힐스테이트1차,공동주택시설,아파트,완속,AC완속,타기관,스타코프,,AC완속,이용가능,"37.592476838,126.92526950"
서울특별시,강남구,서울특별시 강남구 삼성로51길 11,강남학원,교육문화시설,학원,완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"37.4962942,127.0606031"
제주특별자치도,제주시,제주특별자치도 제주시 애월읍 고내로13길 76-20,애월포세이돈,상업시설,숙박시설,급속,DC차데모+DC콤보,타기관,모던텍,,DC차데모+DC콤보,이용가능,"33.4689,126.3485"
경기도,성남시,경기도 성남시 분당구 금곡로 171,현대노블리스,기타시설,기타,완속,AC완속,타기관(보조금),한국전기차충전서비스,,AC완속,이용가능,"37.349265,127.119324"
전라남도,무안군,전라남도 무안군 삼향읍 유교리 645-1,진성원,근린생활시설,복지관,급속,급속(100kW단독),환경부,환경부(협회),급속(100kW단독),DC콤보,이용가능,"34.8507653,126.4410961"
대구광역시,북구,대구광역시 북구 노원로48길 7-28,선경정밀,기타시설,기타,완속,AC완속,타기관(보조금),투이스이브이씨,,AC완속,이용가능,"35.900064,128.586208"
서울특별시,송파구,서울특별시 송파구 동남로 341,송파레미니스2단지(2022),공동주택시설,아파트,완속,AC완속,타기관(보조금),레드이엔지,,AC완속,이용가능,"37.506,127.138"
부산광역시,해운대구,부산광역시 해운대구 좌동순환로 511,이마트해운대점,상업시설,마트(쇼핑몰),완속,AC완속,타기관,신세계아이앤씨,,AC완속,이용가능,"35.1659,129.1674"
경기도,광명시,경기도 광명시 광명역로 28,경기광명 광명역센트럴자이오피스텔상가 2,기타시설,오피스텔,완속,AC완속,타기관(보조금),에버온,,AC완속,이용가능,"37.4178913,126.8885123"
세종특별자치시,세종특별자치시,"세종특별자치시 보듬3로 7 (도담동, 도램마을8단지)",도램마을8단지,공동주택시설,아파트,완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"36.512200,127.259000"
경기도,수원시,경기도 수원시 영통구 봉영로 1617,훼미리타워 입주자대표회의,공동주택시설,아파트,완속,AC완속,타기관(보조금),차지인,,AC완속,이용가능,"37.2555521,127.0743041"
경기도,여주시,경기도 여주시 농산로 71,여주시 농업기술센터,공공시설,공공기관,급속,DC차데모+AC3상+DC콤보,타기관,GS차지비,,DC차데모+AC3상+DC콤보,이용가능,"37.253769,127.637748"
경상남도,창원시,"경상남도 창원시 진해구 명동580, 좌측 주차장",명동노외공영주차장(노외주차장),주차시설,공영주차장,급속,급속(100kW동시),환경부,환경부(협회),급속(100kW동시),DC차데모+AC3상+DC콤보,이용가능,"35.101616,128.717602"
경상북도,경주시,경상북도 경주시 강동면 동해대로 166-7,경주 위덕삼성타운(저압),공동주택시설,아파트,완속,AC완속,타기관(보조금),한국전자금융,,AC완속,이용가능,"36.007116,129.2858739"
경상북도,영주시,경상북도 영주시 지천로 46,경북영주 휴천현대1차아파트4,공동주택시설,아파트,완속,AC완속,타기관(보조금),에버온,,AC완속,이용가능,"36.803926982,128.62051753"
부산광역시,기장군,부산광역시 기장군 기장읍 기장해안로 147,롯데프리미엄아울렛 동부산점,상업시설,백화점,완속,AC완속,타기관,이브이시스,,AC완속,이용가능,"35.190242396,129.21136437"
